2021-09-28 00:14:11.989 +06:00 [INF] Application Starting up
2021-09-28 00:44:45.120 +06:00 [INF] Worker running at: "2021-09-28T00:44:45.1204806+06:00"
2021-09-28 00:45:05.128 +06:00 [INF] no file to delete
2021-09-28 00:45:05.128 +06:00 [INF] Worker running at: "2021-09-28T00:45:05.1282219+06:00"
2021-09-28 00:45:25.142 +06:00 [INF] no file to delete
2021-09-28 00:45:25.143 +06:00 [INF] Worker running at: "2021-09-28T00:45:25.1438616+06:00"
2021-09-28 00:45:45.150 +06:00 [INF] no file to delete
2021-09-28 00:45:45.150 +06:00 [INF] Worker running at: "2021-09-28T00:45:45.1505676+06:00"
2021-09-28 00:46:05.152 +06:00 [INF] no file to delete
2021-09-28 00:46:05.152 +06:00 [INF] Worker running at: "2021-09-28T00:46:05.1525157+06:00"
2021-09-28 00:46:25.162 +06:00 [INF] no file to delete
2021-09-28 00:46:25.163 +06:00 [INF] Worker running at: "2021-09-28T00:46:25.1629976+06:00"
2021-09-28 00:53:46.878 +06:00 [INF] Application Starting up
2021-09-28 00:53:48.386 +06:00 [INF] no file to delete
2021-09-28 00:53:48.387 +06:00 [INF] Worker running at: "2021-09-28T00:53:48.3874062+06:00"
2021-09-28 00:54:08.417 +06:00 [INF] no file to delete
2021-09-28 00:54:08.417 +06:00 [INF] Worker running at: "2021-09-28T00:54:08.4172481+06:00"
2021-09-28 00:54:28.429 +06:00 [INF] no file to delete
2021-09-28 00:54:28.429 +06:00 [INF] Worker running at: "2021-09-28T00:54:28.4295587+06:00"
2021-09-28 00:54:48.437 +06:00 [INF] no file to delete
2021-09-28 00:54:48.438 +06:00 [INF] Worker running at: "2021-09-28T00:54:48.4380790+06:00"
2021-09-28 00:55:08.462 +06:00 [INF] no file to delete
2021-09-28 00:55:08.462 +06:00 [INF] Worker running at: "2021-09-28T00:55:08.4629523+06:00"
2021-09-28 00:55:28.475 +06:00 [INF] no file to delete
2021-09-28 00:55:28.475 +06:00 [INF] Worker running at: "2021-09-28T00:55:28.4759083+06:00"
